,Unnamed: 0,Ticker_Symbol,Years,Period_Ending, Total _Revenue ,Revenue,COGS ," Sales, General and Admin. ",R&D,Unnamed: 9,Unnamed: 10, Other_Operating_expense,GICS_Sector,GICS_Sub_Industry,Unnamed: 14,Unnamed: 15,Column1,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
0,0,AAL,Year 1,12/31/2012," $24,855,000,000 ",24855000000.0," $10,499,000,000 "," $12,977,000,000 ", $-   , -   ,    ," $845,000,000 ",Industrials,Airlines,,,,,,    ,,    
1,1,AAL,Year 2,12/31/2013," $26,743,000,000 ",26743000000.0," $11,019,000,000 "," $12,913,000,000 ", $-   , -   ,    ," $853,000,000 ",Industrials,Airlines,,,Mean,20721007249.0,,    ,,    
2,2,AAL,Year 3,12/31/2014," $42,650,000,000 ",42650000000.0," $15,620,000,000 "," $20,686,000,000 ", $-   , -   ,    ," $1,295,000,000 ",Industrials,Airlines,,,Standard Error,1006923681.0,,    ,,    
3,3,AAL,Year 4,12/31/2015," $40,990,000,000 ",40990000000.0," $11,096,000,000 "," $21,275,000,000 ", $-   , -   ,    ," $1,364,000,000 ",Industrials,Airlines,,,Median,8077927500.0,,    ,,    
4,4,AAP,Year 1,12/29/2012," $6,205,003,000 ",6205003000.0," $3,106,967,000 "," $2,440,721,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,Automotive Retail,,,Mode,9968000000.0,,    ,,    
5,5,AAP,Year 2,12/28/2013," $6,493,814,000 ",6493814000.0," $3,241,668,000 "," $2,591,828,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,Automotive Retail,,,Standard Deviation,41638455339.0,,    ,,    
6,6,AAP,Year 3,01-03-2015," $9,843,861,000 ",9843861000.0," $5,390,248,000 "," $3,601,903,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,Automotive Retail,,,Sample Variance,1.73376e+21,,    ,,    
7,7,AAP,Year 4,01-02-2016," $9,737,018,000 ",9737018000.0," $5,314,246,000 "," $3,596,992,000 ", $-   , -   ,    , $-   ,Consumer Discretionary,Automotive Retail,,,Kurtosis,51.76091062,,    ,,    
8,8,AAPL,Year 1,9/28/2013," $170,910,000,000 ",170910000000.0," $106,606,000,000 "," $10,830,000,000 "," $4,475,000,000 "," 4,475,000,000 "," 4,475,000,000 ", $-   ,Information Technology,Computer Hardware,,,Skewness,6.048472102000001,," 4,475,000,000 ",," 4,475,000,000 "
9,9,AAPL,Year 2,9/27/2014," $182,795,000,000 ",182795000000.0," $112,258,000,000 "," $11,993,000,000 "," $6,041,000,000 "," 6,041,000,000 "," 6,041,000,000 ", $-   ,Information Technology,Computer Hardware,,,Range,485649000000.0,," 6,041,000,000 ",," 6,041,000,000 "
10,10,AAPL,Year 3,9/26/2015," $233,715,000,000 ",233715000000.0," $140,089,000,000 "," $14,329,000,000 "," $8,067,000,000 "," 8,067,000,000 "," 8,067,000,000 ", $-   ,Information Technology,Computer Hardware,,,Minimum,1514000.0,," 8,067,000,000 ",," 8,067,000,000 "
